ID,age,gender,E1,E2,E3,E4,E5,E6,E7,E8,E9,E10,N1,N2,N3,N4,N5,N6,N7,N8,N9,N10,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10,C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,O1,O2,O3,O4,O5,O6,O7,O8,O9,O10
20,6,Male,3,1,5,1,5,1,3,3,5,1,3,5,5,5,3,3,3,3,3,1,1,5,1,5,1,5,1,5,5,5,5,1,5,1,5,1,5,1,5,5,5,1,5,1,5,1,5,3,5,5
21,18,Male,1,5,4,4,1,4,1,4,4,5,3,4,3,2,3,3,4,4,4,2,1,4,4,4,2,3,1,4,4,3,1,5,4,3,1,5,3,4,1,3,4,2,5,1,4,1,4,4,5,4
22,15,Female,2,5,2,3,2,3,1,5,2,5,2,4,4,3,2,2,4,2,2,3,2,3,2,3,4,2,4,2,2,2,2,4,2,4,1,4,2,3,2,3,4,1,5,2,4,2,4,4,4,5
23,5,Male,1,2,1,4,2,2,1,5,1,5,5,1,5,1,4,5,3,2,5,5,1,2,4,4,2,4,2,4,4,1,4,3,4,4,4,2,4,1,3,4,5,2,4,1,4,2,3,4,5,3
24,18,Female,2,4,2,4,2,3,2,4,1,5,3,4,3,2,2,3,3,3,3,3,1,4,1,5,2,5,3,4,5,4,5,4,4,3,2,3,4,1,2,4,4,1,2,1,5,4,5,4,4,3
25,16,Female,4,2,2,3,5,2,2,5,5,5,3,3,3,4,3,1,5,1,3,2,1,5,1,5,1,5,5,5,5,5,3,5,5,2,1,4,5,1,4,4,3,1,5,1,3,1,4,5,5,4
26,31,Female,3,3,4,3,4,2,4,2,4,4,3,4,4,2,2,2,5,5,3,4,2,4,1,4,2,2,2,4,3,5,3,4,5,3,3,2,4,4,2,4,5,1,5,1,4,1,5,4,5,5
27,25,Male,4,2,4,2,4,2,4,2,4,4,4,3,3,3,3,4,3,3,4,3,2,4,2,4,4,4,2,4,4,4,3,2,3,2,4,1,4,4,4,4,4,3,4,3,4,1,3,3,4,4
28,19,Male,5,1,4,1,3,1,4,2,5,2,1,5,4,4,1,1,1,1,1,2,2,5,2,5,2,4,2,5,5,3,4,1,3,1,1,1,5,2,2,5,5,1,5,1,5,1,5,4,5,5
29,18,Female,2,5,3,4,2,2,2,1,1,5,2,4,5,2,4,3,3,2,3,2,3,2,2,4,2,5,2,4,4,3,4,3,5,2,3,1,4,4,4,2,3,4,2,4,4,4,2,1,5,3
30,16,Female,3,1,5,3,5,1,5,3,4,1,1,5,2,1,3,2,3,2,3,1,4,4,3,4,2,5,1,3,4,5,3,3,4,2,3,2,2,2,2,3,4,3,3,2,3,2,4,2,3,4
31,19,Female,2,3,2,3,3,2,2,4,2,3,4,2,5,2,4,3,4,4,4,2,2,5,2,4,2,5,2,4,4,3,2,4,3,4,2,3,3,4,3,3,3,3,4,2,3,2,3,3,4,4
32,29,Male,4,1,4,2,3,2,3,2,5,2,2,3,4,3,2,1,2,2,2,2,2,4,1,4,2,2,2,4,3,3,3,4,4,1,1,3,3,1,3,4,4,1,5,1,4,1,4,3,4,4
33,18,Male,2,5,2,4,1,3,1,4,2,5,2,5,3,3,3,1,2,1,2,2,1,4,1,5,4,5,3,3,3,2,4,2,5,2,2,1,4,2,4,3,3,2,3,1,4,3,5,3,4,4
34,21,Male,1,5,3,3,4,3,4,3,4,4,4,3,3,4,3,2,4,4,3,3,4,4,1,3,2,4,2,4,4,4,4,4,4,2,4,2,3,3,3,4,3,2,4,2,4,3,4,3,3,4
35,19,Female,1,3,4,3,2,2,2,2,4,4,3,3,4,2,3,3,5,4,2,2,3,4,2,5,3,5,4,2,5,3,2,2,3,3,3,4,3,3,4,3,2,2,4,2,3,2,2,1,2,3
36,19,Male,1,2,1,4,1,5,3,3,4,2,5,2,3,1,3,5,5,4,4,3,3,3,2,4,1,5,3,3,5,3,3,1,5,4,3,5,4,3,5,5,2,3,5,3,3,1,5,5,3,4
37,24,Female,4,3,3,3,4,2,4,3,4,3,3,4,5,3,4,3,3,2,4,2,1,5,2,5,1,4,1,5,5,5,3,5,5,3,1,4,4,2,3,4,4,1,5,1,4,1,4,4,5,5
38,24,Female,2,3,3,4,1,3,1,5,1,5,5,1,5,1,5,5,5,5,5,5,4,4,5,4,1,5,2,3,4,2,3,4,5,4,2,5,5,5,4,4,3,4,5,3,1,2,3,2,5,1
39,24,Male,2,1,3,2,4,2,4,2,4,2,5,3,5,2,4,4,5,5,5,2,4,4,4,4,3,4,2,2,4,4,4,5,4,4,3,4,4,3,4,4,5,2,5,1,4,1,4,5,3,5
40,24,Female,3,4,3,3,1,4,1,5,1,1,5,2,5,5,4,5,2,5,5,5,5,3,1,4,2,5,4,4,5,4,4,5,5,5,3,5,1,2,3,4,2,3,5,4,4,5,4,3,3,3
41,33,Female,1,4,4,3,1,2,2,4,1,4,1,4,2,3,3,3,3,2,3,3,4,3,4,2,4,1,5,1,1,3,3,2,3,2,4,2,4,3,3,3,1,5,2,5,4,4,3,1,1,3
42,63,Female,3,3,3,1,4,1,5,3,5,3,1,3,4,2,1,1,2,1,1,3,1,3,1,5,2,5,1,4,5,5,4,1,5,1,4,1,5,1,1,5,4,1,3,1,5,1,4,2,5,5
43,3,Female,3,4,4,2,3,3,2,2,3,2,2,3,3,4,4,2,2,2,2,1,1,5,2,4,2,4,2,3,4,3,2,1,4,1,4,2,4,2,4,4,4,3,4,2,4,2,4,4,1,4
44,28,Male,3,1,4,3,4,2,2,3,2,5,4,2,4,3,4,4,3,3,4,3,1,4,2,5,2,5,2,5,4,4,4,4,5,3,2,3,4,3,4,5,5,2,5,1,4,1,3,3,5,5
45,16,Male,3,2,3,3,4,2,2,5,2,3,4,4,4,3,2,3,2,1,2,2,2,4,2,4,2,4,3,4,4,3,4,2,3,3,4,2,3,2,5,4,3,2,4,2,3,1,3,2,4,4
46,23,Female,2,3,3,4,3,3,3,4,3,4,4,2,4,2,5,2,5,5,5,5,1,3,3,3,2,5,3,4,3,3,3,1,3,3,2,3,5,3,3,5,2,1,3,3,4,3,5,2,5,3
47,2,Female,2,3,4,4,3,2,2,3,3,4,2,4,2,3,2,1,3,2,2,2,4,4,1,2,4,4,2,2,3,3,4,2,3,2,4,1,4,1,2,1,3,2,2,2,3,3,4,2,4,3
48,17,Female,2,2,3,3,4,2,2,3,2,3,3,2,3,2,2,4,4,4,4,2,1,5,3,5,1,5,2,5,5,5,4,3,5,3,4,3,3,2,3,3,4,2,5,1,4,1,5,3,4,5
49,23,Female,3,2,5,2,5,2,5,2,4,2,3,3,4,2,1,2,4,4,3,3,1,5,1,4,1,5,1,5,5,4,2,3,2,3,2,4,2,3,3,1,1,1,5,2,4,1,4,4,4,5
50,22,Male,5,5,3,5,1,4,2,5,4,5,5,2,5,2,4,5,3,2,5,3,5,3,3,4,5,5,5,2,5,5,3,4,4,2,3,4,5,4,4,3,4,5,4,4,4,3,4,2,4,4
51,46,Male,5,2,3,2,4,3,3,3,4,3,4,3,3,3,2,3,3,3,3,2,2,4,2,4,2,4,2,2,3,3,3,2,3,3,3,2,3,3,2,3,3,3,3,2,4,2,3,2,3,4
52,17,Male,1,1,1,5,1,5,1,1,5,5,5,1,5,3,5,5,1,5,5,3,4,1,1,5,4,5,5,1,5,1,1,5,3,5,3,5,5,3,1,5,5,5,5,4,5,1,4,1,5,5
53,16,Female,2,4,2,4,2,3,2,4,3,4,2,4,3,2,1,3,3,3,3,4,2,3,2,4,2,4,2,4,3,1,4,3,3,3,3,2,4,2,4,5,3,1,4,1,5,1,5,3,5,5
54,2,Female,2,2,3,3,4,2,1,1,3,2,4,2,5,3,4,4,2,2,4,3,2,3,1,4,3,4,3,2,4,3,4,1,4,1,5,3,5,2,5,5,4,2,5,2,4,1,4,4,5,4
55,38,Female,3,1,5,1,5,1,4,3,3,2,2,5,2,4,2,1,4,2,4,1,1,5,2,5,2,4,1,4,4,4,2,5,3,2,2,2,3,2,2,2,4,1,4,3,3,2,2,4,4,3
56,21,Male,1,1,4,2,5,1,3,2,5,5,3,1,5,2,1,3,3,3,3,1,1,4,4,4,1,1,1,5,2,1,4,5,5,2,4,3,5,1,4,4,3,1,3,1,4,2,5,4,5,5
57,55,Male,4,3,5,3,4,4,4,4,4,2,2,4,4,4,2,2,2,4,2,2,4,4,2,4,2,4,2,4,4,4,3,1,4,1,5,1,4,2,4,3,2,3,2,3,4,2,3,4,4,2
58,48,Female,3,1,4,1,4,1,5,1,4,1,4,2,4,1,4,3,1,2,4,4,5,5,3,5,1,5,1,5,4,4,2,1,5,1,5,2,5,1,4,4,5,1,3,1,3,2,5,4,4,2
59,27,Female,3,4,5,2,3,3,4,3,5,3,2,4,2,3,1,1,1,1,1,2,1,5,1,5,2,2,1,4,2,5,3,3,5,1,1,2,4,3,2,5,4,1,5,1,5,1,5,4,4,5
60,19,Female,5,1,3,3,3,1,5,2,5,4,4,3,5,3,4,3,5,4,3,2,2,5,1,5,2,5,1,4,5,4,2,5,4,5,1,5,1,3,2,3,3,2,5,2,5,1,2,1,4,4
61,14,Female,1,5,1,5,1,3,1,4,2,5,5,1,5,1,2,5,4,4,5,5,2,3,4,4,2,4,3,2,4,1,2,4,3,5,2,4,4,5,4,2,3,3,3,2,3,2,4,4,4,3
62,25,Female,3,2,4,2,4,3,4,3,2,2,5,2,4,1,2,3,3,3,2,4,1,5,1,5,1,5,2,3,5,4,4,5,3,4,1,4,3,3,3,3,2,3,3,3,2,4,3,2,4,2
63,19,Female,1,4,2,4,2,2,1,4,1,5,3,3,3,2,3,3,4,3,3,3,2,4,2,5,3,5,2,5,3,3,2,3,3,4,2,3,4,5,4,4,1,1,1,3,2,5,3,1,5,1
64,16,Female,3,4,4,1,5,1,2,4,4,5,5,1,5,1,3,4,5,4,4,5,2,4,1,5,2,4,2,2,4,3,4,4,5,5,1,1,4,5,4,5,5,3,5,1,4,1,2,4,5,4
65,15,Female,1,4,3,3,2,4,3,1,5,5,3,3,3,3,2,4,3,3,3,4,4,2,4,2,3,2,4,3,2,3,3,1,4,2,3,2,5,1,3,3,2,1,5,1,4,1,3,5,3,5
66,57,Male,3,2,5,2,5,1,4,4,4,2,4,2,4,3,1,1,1,1,2,1,1,5,1,5,1,5,1,5,4,5,4,2,4,1,4,1,2,1,3,5,5,1,5,1,3,1,5,3,5,4
67,44,Male,4,2,5,1,5,1,5,2,2,2,1,4,4,3,2,2,4,3,2,3,4,4,1,4,1,3,1,4,4,5,3,3,4,4,3,4,3,3,3,4,4,2,4,2,4,1,4,4,4,5
68,19,Male,3,4,4,3,3,2,2,3,1,4,2,5,4,3,4,5,4,2,4,2,3,4,2,4,2,5,2,3,5,3,2,2,3,3,2,3,4,3,3,3,2,4,3,4,3,1,3,2,3,3
69,31,Female,2,4,3,4,1,4,1,1,1,4,4,3,5,1,5,5,4,3,3,4,1,4,2,2,1,4,1,3,4,2,3,5,4,5,1,5,3,2,3,2,3,1,3,1,5,2,5,2,3,3
70,18,Female,4,1,3,2,5,1,3,3,1,5,4,5,4,4,2,3,3,3,3,1,5,4,1,3,3,5,1,5,3,4,5,3,5,1,5,4,4,5,5,5,3,4,3,3,5,4,3,1,1,2
71,18,Male,2,5,3,5,2,4,1,4,2,5,2,5,2,4,2,2,2,2,2,2,2,4,3,4,2,4,2,4,2,2,4,4,3,2,4,4,3,2,4,4,4,2,4,2,5,1,4,3,5,5
72,15,Male,3,2,3,4,1,4,2,1,3,4,5,3,3,3,5,4,5,4,3,4,4,3,3,3,3,3,3,4,4,3,3,4,2,5,2,5,1,3,2,2,1,3,5,3,3,1,1,2,2,5
73,25,Male,3,1,4,2,4,2,4,3,4,2,1,5,2,4,2,1,2,1,1,2,2,4,2,3,2,3,2,4,3,4,4,2,4,2,2,2,4,2,3,2,4,1,4,2,3,2,4,4,5,3
74,16,Female,3,3,2,2,2,3,4,4,2,5,4,2,4,4,4,4,5,5,5,4,2,3,4,3,2,3,3,3,3,3,3,3,3,3,3,2,3,3,4,3,3,2,3,3,2,3,3,3,5,2
75,2,Male,2,1,4,2,4,2,4,2,5,2,1,5,1,5,2,1,1,1,1,1,2,5,1,3,2,2,2,4,3,4,4,4,3,2,2,2,4,2,2,4,4,2,4,2,4,2,4,4,4,4
76,2,Male,4,2,3,3,4,3,4,4,4,4,2,2,5,3,5,4,3,3,4,4,5,4,2,5,3,5,3,4,5,3,4,1,4,2,4,2,4,4,2,4,3,1,4,2,5,2,5,2,5,3
77,24,Male,2,3,2,4,2,4,2,5,1,5,5,2,5,3,2,2,5,4,5,3,2,4,4,4,2,5,2,3,4,2,4,2,5,2,3,2,5,3,4,3,3,3,5,3,4,1,5,3,5,4
78,62,Male,3,5,2,3,3,1,1,3,3,4,3,1,4,4,5,3,3,3,5,5,3,2,2,5,1,4,2,3,4,4,3,4,4,1,3,1,5,3,4,2,4,2,5,2,2,1,3,3,4,2
79,34,Male,3,1,4,4,5,1,4,1,5,4,4,2,4,4,4,4,4,3,4,3,4,5,1,4,2,5,1,5,5,5,3,2,4,2,3,3,3,1,4,3,5,3,4,3,4,2,4,4,4,4
80,19,Male,2,3,4,3,5,2,5,3,5,5,4,4,4,3,4,5,5,5,5,2,1,5,4,5,1,5,1,4,5,4,3,4,1,2,2,2,5,2,5,4,3,1,5,1,4,1,5,3,5,5
81,18,Female,1,3,3,2,4,3,2,3,2,2,2,1,2,1,5,3,5,4,3,5,1,5,2,5,1,4,2,3,4,5,2,1,4,1,1,4,4,3,1,4,5,1,5,1,5,1,5,5,5,5
82,19,Male,3,2,2,4,4,3,2,3,2,4,3,3,4,2,2,2,4,4,4,2,5,3,2,5,2,5,2,4,5,4,2,4,4,3,1,5,3,4,3,3,5,4,5,2,4,1,5,5,4,5
83,19,Male,1,5,1,5,1,5,1,5,5,5,5,1,1,1,4,5,1,1,5,1,3,1,1,1,5,1,5,1,1,1,2,1,4,1,1,1,5,1,1,5,4,5,1,5,3,5,5,3,5,3
84,15,Female,3,3,3,3,2,2,1,2,4,5,1,5,5,2,4,5,5,4,5,2,1,1,1,5,1,5,2,5,5,5,5,1,5,2,5,1,5,1,5,5,5,1,4,1,4,1,4,3,4,5
85,23,Female,5,1,5,5,5,1,5,1,5,2,2,2,5,5,5,5,5,5,5,5,5,5,1,5,5,5,1,5,5,5,2,1,5,2,5,5,5,5,5,5,5,1,5,1,5,1,5,1,5,5
86,19,Female,5,4,4,4,2,4,1,3,3,5,3,4,4,3,3,3,4,4,3,3,5,5,3,5,2,5,2,5,5,5,5,1,5,1,4,2,5,4,5,4,4,2,5,2,4,2,5,4,4,4
87,18,Male,1,5,2,5,4,4,1,5,2,5,3,4,4,1,1,2,5,5,5,5,4,4,5,2,4,2,5,2,2,2,1,4,2,3,1,5,3,3,1,3,4,1,5,2,5,1,4,4,5,5
88,22,Female,3,2,3,3,4,2,2,2,3,3,5,2,5,2,4,4,4,4,4,4,1,5,3,5,1,4,1,5,4,4,4,4,4,5,2,3,4,3,2,4,4,2,4,1,4,2,3,4,5,3
89,45,Male,4,1,5,2,5,1,5,1,5,4,2,5,5,1,4,2,2,1,2,2,1,5,1,5,1,5,1,5,5,5,3,5,5,5,5,5,5,2,3,2,4,2,5,2,5,1,5,4,4,5
90,48,Female,4,5,4,4,3,4,5,4,5,5,5,1,5,1,4,5,5,5,4,5,5,3,1,4,4,3,1,2,4,4,2,1,3,3,3,1,5,1,4,5,5,1,5,1,3,1,5,3,5,4
91,43,Male,3,4,5,2,5,2,5,4,4,2,1,5,2,4,1,1,3,2,1,2,4,4,2,2,4,4,4,2,2,3,5,2,4,3,2,4,2,1,2,4,4,1,4,2,4,2,5,2,2,5
92,16,Male,4,4,5,1,5,1,4,5,5,4,1,5,2,1,5,1,3,5,5,1,1,2,5,2,3,3,5,4,4,3,4,1,3,4,5,2,3,3,5,3,2,2,4,5,5,3,4,4,4,4
93,22,Male,2,2,5,3,5,2,2,3,4,2,1,4,4,2,2,2,2,2,2,2,4,4,2,4,2,4,3,2,4,4,3,1,3,2,3,1,4,2,4,4,4,3,3,3,4,2,4,2,2,4
94,18,Male,4,2,5,2,5,2,5,5,4,2,2,5,3,3,2,2,2,2,1,2,1,5,1,5,2,5,2,5,5,5,4,1,5,2,4,2,4,2,3,5,5,1,4,2,3,1,5,4,4,5
95,16,Male,3,1,2,2,5,1,2,4,3,3,1,4,2,1,3,2,4,3,2,4,1,5,4,5,1,3,5,5,4,3,3,5,4,3,1,4,3,4,4,2,1,1,5,1,5,1,5,1,4,5
96,26,Male,3,5,3,4,2,4,1,1,2,4,4,2,5,1,4,2,3,1,2,3,4,5,4,2,3,5,2,4,4,3,3,4,3,4,2,4,3,4,1,3,3,4,5,2,3,2,2,3,4,3
97,23,Male,1,5,2,5,3,5,3,5,5,4,3,2,4,3,1,4,2,2,3,2,2,5,4,3,4,3,2,2,3,2,2,1,4,1,2,5,4,2,2,4,3,3,3,2,4,1,2,4,5,4
98,29,Male,4,3,4,2,3,2,4,4,2,4,4,4,4,3,4,4,4,4,5,4,1,4,2,4,2,4,2,5,4,4,4,1,5,1,5,2,4,5,4,4,2,1,4,1,4,2,5,2,4,3
99,21,Female,3,5,4,4,1,4,2,4,2,5,3,4,4,4,3,3,2,3,2,2,1,2,1,4,2,4,4,4,4,3,3,2,4,2,4,2,4,3,4,2,3,2,2,4,2,4,3,2,2,3
100,17,Male,3,4,4,5,3,2,4,4,4,4,4,4,5,4,2,3,4,4,2,2,2,5,2,5,2,5,1,5,5,4,5,4,5,2,4,2,3,2,4,4,4,1,5,2,4,1,5,4,5,4
101,19,Male,2,5,2,5,2,5,1,5,1,5,2,2,3,2,4,2,2,1,2,1,3,4,3,3,3,5,4,4,4,2,4,4,4,4,1,5,4,3,2,4,2,1,1,4,5,3,5,2,5,4
102,43,Female,2,3,2,4,3,2,2,4,2,5,4,3,3,1,3,3,4,3,3,4,1,2,2,4,2,3,2,4,3,3,4,3,4,3,2,3,4,1,4,4,5,1,5,1,4,1,5,5,5,5
103,25,Male,4,1,4,1,4,1,4,2,4,2,1,5,1,4,2,2,2,2,1,2,1,5,1,4,2,5,2,4,4,4,4,2,4,1,4,2,2,2,3,4,3,4,4,4,4,2,4,3,5,4
104,36,Male,1,3,2,4,2,4,1,5,2,4,5,2,5,1,4,5,4,3,4,5,1,5,1,5,1,5,1,5,5,3,1,5,1,5,1,5,1,5,1,2,5,1,5,1,5,2,4,5,5,5
105,15,Female,4,1,4,2,2,1,4,4,4,4,4,4,4,1,1,3,5,5,4,4,1,3,2,5,1,5,1,5,5,3,2,2,5,2,2,4,3,3,4,3,2,1,4,1,5,1,5,3,4,5
106,16,Female,2,5,3,5,3,4,1,5,3,5,4,4,5,3,4,5,4,3,4,4,1,4,3,4,2,4,3,4,4,3,3,3,4,4,1,5,3,3,3,3,4,3,5,2,3,2,3,3,4,4
107,18,Female,2,3,2,3,2,3,1,5,1,4,5,1,5,1,1,2,4,4,4,4,3,3,2,4,2,2,2,5,3,3,3,2,4,2,3,2,4,3,5,3,4,2,4,2,3,2,3,4,3,4
108,44,Male,4,1,4,1,5,2,5,4,4,3,3,4,2,3,4,3,2,3,3,2,1,5,4,5,1,4,1,4,4,5,4,4,2,4,3,2,2,3,2,3,4,2,5,1,4,1,4,4,4,5
109,16,Male,2,2,2,3,2,2,2,2,4,4,4,5,3,5,1,2,2,2,3,1,1,5,3,4,1,4,1,4,4,4,3,3,2,2,2,4,3,2,1,4,5,2,4,1,5,1,5,5,5,5
110,52,Male,4,2,5,2,5,1,5,2,5,2,4,3,4,2,2,4,4,2,2,4,1,5,4,5,1,5,1,5,5,5,4,2,4,4,4,2,4,2,4,4,4,1,4,1,4,1,5,3,4,4
111,52,Male,3,3,2,2,2,4,2,2,2,4,4,3,4,3,4,4,4,4,4,3,1,4,1,4,2,5,2,4,4,3,3,5,3,4,3,5,3,3,3,3,2,4,4,4,5,1,3,2,3,4
112,52,Female,4,2,5,1,5,2,5,2,5,2,4,2,4,2,3,4,4,4,4,3,4,4,2,4,3,3,2,3,4,4,3,4,2,2,1,4,1,3,1,3,4,1,5,1,4,1,4,4,5,4
113,52,Male,4,1,4,2,4,2,2,4,4,4,2,2,4,4,4,5,4,4,4,1,2,4,1,5,1,5,2,4,4,4,4,1,4,1,4,2,2,2,5,5,4,4,3,5,4,1,3,2,4,3
114,22,Female,4,2,2,2,4,2,1,4,3,3,4,3,5,1,4,5,5,5,5,5,2,5,4,4,1,4,2,4,4,4,4,1,4,5,2,4,5,2,4,4,4,3,4,2,4,2,2,2,5,4
115,29,Male,2,2,5,2,5,1,5,3,3,2,1,5,1,2,1,1,1,1,1,1,1,5,2,5,1,5,1,5,5,5,5,1,5,1,5,1,2,1,5,5,3,1,4,1,5,1,5,2,3,5
116,16,Male,2,4,2,4,2,3,3,4,2,5,3,3,3,3,1,2,2,1,4,2,3,3,2,4,2,3,3,3,3,3,4,4,4,4,2,3,2,3,4,4,4,1,5,1,4,1,5,4,5,5
117,44,Female,3,5,3,4,5,4,3,4,2,3,4,2,5,4,4,5,5,1,5,4,1,5,2,5,2,5,1,5,5,4,4,5,5,2,2,5,4,1,3,4,3,2,5,1,5,1,4,1,5,5
118,35,Male,3,3,2,3,3,1,3,3,3,4,5,2,5,3,4,5,5,5,5,3,3,4,3,3,3,1,3,2,2,1,5,1,3,3,4,1,5,1,5,5,3,3,3,3,4,3,4,3,5,3
119,16,Female,4,1,4,2,5,1,4,2,5,2,4,5,4,5,2,3,4,3,3,2,1,4,3,4,1,2,1,4,5,3,3,4,4,2,3,3,4,2,4,3,3,2,4,2,4,1,4,3,3,5
120,41,Female,4,1,5,1,5,1,5,3,5,1,3,3,2,5,1,2,1,1,2,1,1,5,1,5,1,5,1,5,5,5,3,3,4,1,3,4,3,5,4,4,2,1,4,1,4,1,5,2,5,5
121,57,Female,3,4,4,3,3,3,3,4,2,5,3,3,3,3,3,3,3,2,2,2,2,4,2,3,3,4,3,4,3,3,1,4,5,1,2,2,4,4,2,5,4,2,5,2,5,1,4,3,4,4
122,15,Female,1,2,2,2,2,2,1,5,3,4,5,4,4,2,2,4,4,4,4,5,2,4,5,4,1,5,4,4,4,3,2,5,4,4,2,4,3,4,4,3,4,1,2,2,4,4,4,4,4,4
123,2,Male,4,1,5,3,5,1,3,4,3,2,5,3,5,3,4,3,1,1,5,3,1,5,1,5,1,5,1,5,5,5,4,4,5,1,5,1,5,1,5,5,4,3,5,1,5,1,4,4,5,5
124,22,Male,4,5,5,1,4,1,5,5,4,4,1,5,3,5,3,2,4,1,3,1,1,5,1,5,4,1,1,2,4,4,1,1,5,1,4,4,2,4,3,3,5,1,5,1,4,1,5,2,5,5
125,14,Male,1,2,3,3,4,2,1,3,4,4,4,3,4,2,5,4,4,4,5,4,1,4,4,4,1,3,2,4,5,3,3,4,3,4,2,4,3,3,4,3,4,2,4,1,4,3,4,4,5,4
126,19,Female,2,1,5,2,5,1,4,4,4,4,4,4,4,5,5,4,2,1,4,1,1,5,4,5,1,4,1,5,5,5,5,5,5,2,4,4,4,1,5,5,2,4,5,5,3,2,4,1,5,2
127,56,Male,3,3,4,3,3,3,4,2,5,2,1,1,3,5,1,1,1,1,1,1,1,4,1,5,2,5,1,5,3,5,1,1,5,1,3,3,3,1,4,3,4,2,4,2,5,1,3,1,5,5
